ID,electricity_consumption
552,218.76262381635013
553,207.61181310140668
554,221.18855435067067
555,219.28965490046818
556,270.98389278650967
557,251.92769696828884
558,249.59221126678142
559,279.90582094971813
560,265.03677374920704
561,263.62896590654645
562,271.0780500155164
563,253.79142110108268
564,247.47357215195322
565,289.0800249199194
566,258.0295422155215
567,276.9151880115007
568,276.88915514941436
569,266.12522876206685
570,250.38564534902812
571,267.0867684345489
572,348.7563700486769
573,285.82227182590236
574,298.52904800741027
575,334.28646876254805
576,252.04676878991887
577,323.7658980829389
578,270.3411675650496
579,276.0853294013982
580,246.6274922812371
581,244.1133308192574
582,246.0372565075176
583,240.06167873954666
584,221.8656786654339
585,214.45228995368083
586,227.6757395358962
587,224.5492393497921
588,216.97545854591627
589,215.19853381302406
590,214.8579213864838
591,211.1549920058406
592,208.50156761237048
593,213.22780423732704
594,215.72878936128458
595,247.98768951167426
596,248.37720429409717
597,286.61991529764146
598,287.4311253661792
599,288.6946258654322
600,267.62525675677
601,243.9674981179545
602,235.8528416306418
603,253.88957645099936
604,251.69920024541597
605,240.87950655218225
606,237.83947774811472
607,261.4290944358511
608,239.94826805757157
609,257.99991958492313
610,246.87706461869377
611,229.5692358159726
612,273.6362697140987
613,272.6321048187686
614,252.94754570397956
615,244.17526521635986
616,275.12363256571814
617,289.1197104858686
618,259.4554478462483
619,315.19203538733615
620,291.32553851587596
621,295.3383052536626
622,290.05078540293516
623,271.2493373953152
624,250.23799609915045
625,256.8367135273658
626,240.7264906569557
627,245.85978476057852
628,231.15745983394555
629,230.09776559217227
630,223.8969298837617
631,230.94635110000212
632,238.75617879769837
633,224.79148453170814
634,227.8449782646807
635,224.9932158299737
636,233.6497924181892
637,257.0295547163465
638,239.9209715270589
639,257.7551687271299
640,252.14506355625326
641,246.84458485553517
642,234.5280325651685
643,235.47363912189698
644,250.04628239335645
645,248.52742682832982
646,255.69258080910583
647,273.4485439027329
648,225.0387646931674
649,248.4108012496801
650,222.87250662937168
651,231.94501067930202
652,229.55069903196855
653,240.5880732357638
654,232.56623554881511
655,226.17550859202152
656,258.59403761571804
657,233.8002518833521
658,227.1084226206594
659,225.5168225070098
660,224.59369306837178
661,226.99345976794274
662,224.52379360038213
663,219.89586242074586
664,212.5679245470844
665,216.0878056920067
666,216.8512139435017
667,223.8286903679918
668,222.23840343180586
669,229.33101866243234
670,228.58721518909098
671,240.61204120130847
672,214.24753974644491
673,212.67457139841937
674,220.53726870064258
675,218.959558069928
676,215.17239399333477
677,223.2433161219477
678,216.09586033870767
679,219.20996024786737
680,220.22651307086525
681,242.7048055781862
682,231.96377986281564
683,254.18486420350035
684,234.82385276007648
685,230.688982333027
686,233.74775900160824
687,226.81227469550262
688,226.86031297717523
689,228.6650471584037
690,223.05531206991554
691,228.17266015020215
692,228.79015222018856
693,222.11353400550468
694,224.58738406802863
695,229.39572466707085
696,214.17954463898593
697,213.8297983210554
698,217.36086389642975
699,212.4477694505849
700,216.59624046897147
701,210.40149568765762
702,219.8950011433994
703,213.29514501292076
704,210.98378929540482
705,206.47484288543797
706,212.477515461217
707,213.81266025221785
708,203.99604327824326
